trip_id,train_number,train_name,train_type,from_station_code,to_station_code,distance_km,scheduled_run_time_min,departure_hour,day_of_week,departure_delay_min,section_congestion_level,weather_impact_flag,actual_run_time_min
TRIP-1001,22436,Vande Bharat Express,VB,NDLS,CNB,440.0,240.0,8,3,0.0,0.85,1,321.08
TRIP-1001,22436,Vande Bharat Express,VB,CNB,PRYJ,194.5,100.0,13,3,82.2,0.61,0,107.28
TRIP-1001,22436,Vande Bharat Express,VB,PRYJ,DDU,153.0,90.0,15,3,89.0,0.69,0,94.86
TRIP-1001,22436,Vande Bharat Express,VB,DDU,BSB,18.0,25.0,16,3,93.8,0.78,0,29.91
TRIP-1002,12951,Mumbai Rajdhani Express,RAJ,BCT,ST,263.0,160.0,11,3,0.0,0.95,0,169.13
TRIP-1002,12951,Mumbai Rajdhani Express,RAJ,ST,BRC,129.0,80.0,13,3,8.6,0.62,0,74.56
TRIP-1002,12951,Mumbai Rajdhani Express,RAJ,BRC,RTM,261.0,195.0,15,3,4.6,0.69,0,188.09
TRIP-1002,12951,Mumbai Rajdhani Express,RAJ,RTM,KOTA,266.0,155.0,18,3,0.0,0.95,0,165.17
TRIP-1002,12951,Mumbai Rajdhani Express,RAJ,KOTA,MTJ,324.0,195.0,21,3,11.9,0.88,0,207.25
TRIP-1002,12951,Mumbai Rajdhani Express,RAJ,MTJ,NDLS,143.0,110.0,0,3,23.7,0.89,0,115.26
TRIP-1003,12302,Howrah Rajdhani Express,RAJ,NDLS,CNB,440.0,285.0,14,3,18.2,0.88,0,274.67
TRIP-1003,12302,Howrah Rajdhani Express,RAJ,CNB,PRYJ,194.5,120.0,18,3,8.1,0.88,0,123.98
TRIP-1003,12302,Howrah Rajdhani Express,RAJ,PRYJ,DDU,153.0,105.0,20,3,11.9,0.96,0,103.24
TRIP-1003,12302,Howrah Rajdhani Express,RAJ,DDU,GAYA,205.0,130.0,22,3,9.1,0.84,0,127.37
TRIP-1003,12302,Howrah Rajdhani Express,RAJ,GAYA,DHN,201.0,140.0,0,3,5.7,0.46,0,132.59
TRIP-1003,12302,Howrah Rajdhani Express,RAJ,DHN,HWH,259.0,200.0,3,3,0.0,0.37,0,184.84
TRIP-1004,22436,Vande Bharat Express,VB,NDLS,CNB,440.0,240.0,16,3,5.3,0.87,0,237.08
TRIP-1004,22436,Vande Bharat Express,VB,CNB,PRYJ,194.5,100.0,20,3,3.5,0.98,0,107.62
TRIP-1004,22436,Vande Bharat Express,VB,PRYJ,DDU,153.0,90.0,21,3,11.7,0.93,1,123.25
TRIP-1004,22436,Vande Bharat Express,VB,DDU,BSB,18.0,25.0,0,3,44.9,0.75,0,29.7
TRIP-1005,12802,Purushottam Express,EXP,NDLS,CNB,440.0,350.0,22,3,5.0,0.65,0,343.56
TRIP-1005,12802,Purushottam Express,EXP,CNB,PRYJ,194.5,150.0,3,3,0.0,0.66,0,141.08
TRIP-1005,12802,Purushottam Express,EXP,PRYJ,DDU,153.0,135.0,6,3,0.0,0.87,1,166.54
TRIP-1005,12802,Purushottam Express,EXP,DDU,GAYA,205.0,165.0,9,3,33.1,0.8,0,174.75
TRIP-1005,12802,Purushottam Express,EXP,GAYA,BKSC,149.0,135.0,12,3,42.2,0.45,0,139.19
TRIP-1005,12802,Purushottam Express,EXP,BKSC,PURI,612.0,520.0,14,3,47.5,0.46,0,503.2
TRIP-1006,22436,Vande Bharat Express,VB,NDLS,CNB,440.0,240.0,0,4,0.0,0.69,1,304.54
TRIP-1006,22436,Vande Bharat Express,VB,CNB,PRYJ,194.5,100.0,5,4,63.7,0.68,0,105.4
TRIP-1006,22436,Vande Bharat Express,VB,PRYJ,DDU,153.0,90.0,6,4,68.8,0.8,0,98.35
TRIP-1006,22436,Vande Bharat Express,VB,DDU,BSB,18.0,25.0,8,4,77.3,0.98,0,34.0
TRIP-1007,22436,Vande Bharat Express,VB,NDLS,CNB,440.0,240.0,3,4,5.7,0.78,0,222.47
TRIP-1007,22436,Vande Bharat Express,VB,CNB,PRYJ,194.5,100.0,6,4,0.0,0.81,1,123.31
TRIP-1007,22436,Vande Bharat Express,VB,PRYJ,DDU,153.0,90.0,8,4,23.3,0.83,0,101.06
TRIP-1007,22436,Vande Bharat Express,VB,DDU,BSB,18.0,25.0,10,4,35.8,0.97,0,31.98
TRIP-1008,12302,Howrah Rajdhani Express,RAJ,NDLS,CNB,440.0,285.0,5,4,46.1,0.79,1,384.8
TRIP-1008,12302,Howrah Rajdhani Express,RAJ,CNB,PRYJ,194.5,120.0,11,4,146.9,0.83,0,136.76
TRIP-1008,12302,Howrah Rajdhani Express,RAJ,PRYJ,DDU,153.0,105.0,13,4,164.4,0.6,0,117.8
TRIP-1008,12302,Howrah Rajdhani Express,RAJ,DDU,GAYA,205.0,130.0,15,4,178.2,0.67,0,139.8
TRIP-1008,12302,Howrah Rajdhani Express,RAJ,GAYA,DHN,201.0,140.0,18,4,188.0,0.77,0,154.09
TRIP-1008,12302,Howrah Rajdhani Express,RAJ,DHN,HWH,259.0,200.0,20,4,202.8,0.58,0,213.04
TRIP-1009,12802,Purushottam Express,EXP,NDLS,CNB,440.0,350.0,8,4,1.7,0.98,0,373.23
TRIP-1009,12802,Purushottam Express,EXP,CNB,PRYJ,194.5,150.0,14,4,25.4,0.77,0,152.97
TRIP-1009,12802,Purushottam Express,EXP,PRYJ,DDU,153.0,135.0,16,4,28.2,0.61,0,133.85
TRIP-1009,12802,Purushottam Express,EXP,DDU,GAYA,205.0,165.0,19,4,26.6,0.98,0,179.43
TRIP-1009,12802,Purushottam Express,EXP,GAYA,BKSC,149.0,135.0,22,4,40.1,0.63,0,140.8
TRIP-1009,12802,Purushottam Express,EXP,BKSC,PURI,612.0,520.0,0,4,47.8,0.64,0,517.35
TRIP-1010,12802,Purushottam Express,EXP,NDLS,CNB,440.0,350.0,14,4,0.0,0.65,0,347.46
TRIP-1010,12802,Purushottam Express,EXP,CNB,PRYJ,194.5,150.0,19,4,0.0,0.83,0,160.69
TRIP-1010,12802,Purushottam Express,EXP,PRYJ,DDU,153.0,135.0,22,4,12.7,0.64,0,139.32
TRIP-1010,12802,Purushottam Express,EXP,DDU,GAYA,205.0,165.0,1,4,18.1,0.71,1,210.37
TRIP-1010,12802,Purushottam Express,EXP,GAYA,BKSC,149.0,135.0,4,4,65.1,0.62,0,137.64
TRIP-1010,12802,Purushottam Express,EXP,BKSC,PURI,612.0,520.0,7,4,68.6,0.56,0,519.64
TRIP-1011,12302,Howrah Rajdhani Express,RAJ,NDLS,CNB,440.0,285.0,20,4,0.0,0.97,0,299.15
TRIP-1011,12302,Howrah Rajdhani Express,RAJ,CNB,PRYJ,194.5,120.0,1,4,14.5,0.76,1,135.49
TRIP-1011,12302,Howrah Rajdhani Express,RAJ,PRYJ,DDU,153.0,105.0,3,4,29.4,0.76,0,102.9
TRIP-1011,12302,Howrah Rajdhani Express,RAJ,DDU,GAYA,205.0,130.0,5,4,28.2,0.63,1,170.09
TRIP-1011,12302,Howrah Rajdhani Express,RAJ,GAYA,DHN,201.0,140.0,8,4,70.2,0.7,0,150.35
TRIP-1011,12302,Howrah Rajdhani Express,RAJ,DHN,HWH,259.0,200.0,10,4,81.9,0.63,0,207.47
TRIP-1012,12802,Purushottam Express,EXP,NDLS,CNB,440.0,350.0,0,5,8.6,0.68,0,338.15
TRIP-1012,12802,Purushottam Express,EXP,CNB,PRYJ,194.5,150.0,5,5,0.0,0.82,0,151.78
TRIP-1012,12802,Purushottam Express,EXP,PRYJ,DDU,153.0,135.0,8,5,2.0,0.87,1,170.01
TRIP-1012,12802,Purushottam Express,EXP,DDU,GAYA,205.0,165.0,11,5,36.3,0.95,0,182.99
TRIP-1012,12802,Purushottam Express,EXP,GAYA,BKSC,149.0,135.0,14,5,54.6,0.47,0,136.71
TRIP-1012,12802,Purushottam Express,EXP,BKSC,PURI,612.0,520.0,16,5,56.5,0.54,0,507.57
TRIP-1013,22436,Vande Bharat Express,VB,NDLS,CNB,440.0,240.0,3,5,1.2,0.78,0,223.29
TRIP-1013,22436,Vande Bharat Express,VB,CNB,PRYJ,194.5,100.0,6,5,0.0,0.79,0,100.29
TRIP-1013,22436,Vande Bharat Express,VB,PRYJ,DDU,153.0,90.0,8,5,2.2,0.98,1,115.88
TRIP-1013,22436,Vande Bharat Express,VB,DDU,BSB,18.0,25.0,10,5,27.1,0.83,0,29.87
TRIP-1014,12004,Lucknow Shatabdi Express,SF,NDLS,GZB,24.5,38.0,7,5,0.0,0.84,1,52.41
TRIP-1014,12004,Lucknow Shatabdi Express,SF,GZB,ALJN,106.3,60.0,7,5,15.6,0.84,1,79.42
TRIP-1014,12004,Lucknow Shatabdi Express,SF,ALJN,CNB,308.6,210.0,9,5,36.5,0.98,0,228.73
TRIP-1014,12004,Lucknow Shatabdi Express,SF,CNB,LKO,71.6,75.0,13,5,56.8,0.73,0,85.71
TRIP-1015,12951,Mumbai Rajdhani Express,RAJ,BCT,ST,263.0,160.0,10,5,14.1,0.98,0,162.99
TRIP-1015,12951,Mumbai Rajdhani Express,RAJ,ST,BRC,129.0,80.0,12,5,18.9,0.77,0,77.51
TRIP-1015,12951,Mumbai Rajdhani Express,RAJ,BRC,RTM,261.0,195.0,14,5,16.3,0.7,0,188.62
TRIP-1015,12951,Mumbai Rajdhani Express,RAJ,RTM,KOTA,266.0,155.0,17,5,9.2,0.95,0,158.04
TRIP-1015,12951,Mumbai Rajdhani Express,RAJ,KOTA,MTJ,324.0,195.0,20,5,12.6,0.98,0,202.36
TRIP-1015,12951,Mumbai Rajdhani Express,RAJ,MTJ,NDLS,143.0,110.0,23,5,20.8,0.63,0,105.99
TRIP-1016,12302,Howrah Rajdhani Express,RAJ,NDLS,CNB,440.0,285.0,14,5,4.2,0.62,0,277.84
TRIP-1016,12302,Howrah Rajdhani Express,RAJ,CNB,PRYJ,194.5,120.0,18,5,0.0,0.91,0,124.35
TRIP-1016,12302,Howrah Rajdhani Express,RAJ,PRYJ,DDU,153.0,105.0,20,5,5.7,0.97,0,105.74
TRIP-1016,12302,Howrah Rajdhani Express,RAJ,DDU,GAYA,205.0,130.0,22,5,5.8,0.75,1,154.85
TRIP-1016,12302,Howrah Rajdhani Express,RAJ,GAYA,DHN,201.0,140.0,1,5,31.8,0.53,0,133.06
TRIP-1016,12302,Howrah Rajdhani Express,RAJ,DHN,HWH,259.0,200.0,3,5,25.0,0.44,0,181.54
TRIP-1017,22436,Vande Bharat Express,VB,NDLS,CNB,440.0,240.0,16,5,3.8,0.89,0,234.24
TRIP-1017,22436,Vande Bharat Express,VB,CNB,PRYJ,194.5,100.0,19,5,0.0,0.82,0,108.06
