timestamp,train_number,train_type,train_type_encoded,from_station,to_station,section_distance_km,scheduled_section_minutes,historical_avg_running_minutes,historical_p90_running_minutes,current_delay_minutes,current_speed_kmph,departure_hour,day_of_week,actual_running_minutes,source
2026-01-01T00:00:00,12951,Rajdhani,1,BRC,RTM,261.0,197.0,193.0,215.0,7.553803204334335,86.57732797786998,0,3,185.36,SYNTHETIC
2026-01-01T00:15:00,12951,Rajdhani,1,BCT,ST,263.0,162.0,158.0,172.0,-0.9822507772259224,102.66383064352037,0,3,161.03,SYNTHETIC
2026-01-01T00:30:00,12951,Rajdhani,1,RTM,KOTA,266.0,157.0,154.0,170.0,4.314183076465318,104.43468175852068,0,3,153.52,SYNTHETIC
2026-01-01T00:45:00,12951,Rajdhani,1,ST,BRC,129.0,81.0,79.0,90.0,-1.9953255845800506,98.19690181042363,0,3,77.72,SYNTHETIC
2026-01-01T01:00:00,12951,Rajdhani,1,MTJ,NDLS,143.0,110.0,108.0,125.0,-1.7132623324173695,81.66523346009187,1,3,101.38,SYNTHETIC
2026-01-01T01:15:00,12951,Rajdhani,1,BRC,RTM,261.0,197.0,193.0,215.0,22.52929915275817,92.48328902808244,1,3,179.18,SYNTHETIC
2026-01-01T01:30:00,12951,Rajdhani,1,BRC,RTM,261.0,197.0,193.0,215.0,-0.8782324881355015,75.13350947386895,1,3,184.4,SYNTHETIC
2026-01-01T01:45:00,12004,Shatabdi,0,CNB,LKO,71.6,75.0,72.0,85.0,-0.34527767464506565,69.15509524385682,1,3,82.27,SYNTHETIC
2026-01-01T02:00:00,12004,Shatabdi,0,ALJN,CNB,308.6,209.0,205.0,228.0,12.402537324358143,98.54740034054409,2,3,205.8,SYNTHETIC
2026-01-01T02:15:00,12951,Rajdhani,1,ST,BRC,129.0,81.0,79.0,90.0,-0.601278608686298,93.36002636256197,2,3,76.04,SYNTHETIC
2026-01-01T02:30:00,12004,Shatabdi,0,GZB,ALJN,106.3,59.0,57.0,68.0,6.953472262828845,119.27940264205937,2,3,58.14,SYNTHETIC
2026-01-01T02:45:00,12951,Rajdhani,1,BRC,RTM,261.0,197.0,193.0,215.0,2.4142523736852866,83.7747567753591,2,3,190.21,SYNTHETIC
2026-01-01T03:00:00,12951,Rajdhani,1,RTM,KOTA,266.0,157.0,154.0,170.0,0.647361997179221,107.07254653204824,3,3,142.55,SYNTHETIC
2026-01-01T03:15:00,12951,Rajdhani,1,KOTA,MTJ,324.0,195.0,190.0,212.0,0.10819300438770041,83.55902175161904,3,3,178.3,SYNTHETIC
2026-01-01T03:30:00,12951,Rajdhani,1,RTM,KOTA,266.0,157.0,154.0,170.0,-1.966775477744387,109.45759158349402,3,3,150.5,SYNTHETIC
2026-01-01T03:45:00,12004,Shatabdi,0,ALJN,CNB,308.6,209.0,205.0,228.0,7.3689040307286415,97.30635381162182,3,3,213.32,SYNTHETIC
2026-01-01T04:00:00,12951,Rajdhani,1,BRC,RTM,261.0,197.0,193.0,215.0,9.384263219374072,72.17654454176397,4,3,179.15,SYNTHETIC
2026-01-01T04:15:00,12951,Rajdhani,1,BRC,RTM,261.0,197.0,193.0,215.0,0.2349301024621222,92.93705982006401,4,3,182.59,SYNTHETIC
2026-01-01T04:30:00,12951,Rajdhani,1,RTM,KOTA,266.0,157.0,154.0,170.0,-0.07280021643414969,83.19213341816447,4,3,151.05,SYNTHETIC
2026-01-01T04:45:00,12004,Shatabdi,0,ALJN,CNB,308.6,209.0,205.0,228.0,6.582356518461184,105.27629374834694,4,3,212.27,SYNTHETIC
2026-01-01T05:00:00,12951,Rajdhani,1,KOTA,MTJ,324.0,195.0,190.0,212.0,5.440976793962322,100.81045089108639,5,3,173.8,SYNTHETIC
2026-01-01T05:15:00,12004,Shatabdi,0,ALJN,CNB,308.6,209.0,205.0,228.0,-1.8083979122416771,76.13444663359817,5,3,220.68,SYNTHETIC
2026-01-01T05:30:00,12951,Rajdhani,1,BCT,ST,263.0,162.0,158.0,172.0,-0.27956706210021,114.65235816893416,5,3,150.13,SYNTHETIC
2026-01-01T05:45:00,12004,Shatabdi,0,CNB,LKO,71.6,75.0,72.0,85.0,15.172830205888793,75.8958716600804,5,3,78.0,SYNTHETIC
2026-01-01T06:00:00,12951,Rajdhani,1,MTJ,NDLS,143.0,110.0,108.0,125.0,7.905322482907417,88.59846562146518,6,3,105.75,SYNTHETIC
2026-01-01T06:15:00,12004,Shatabdi,0,CNB,LKO,71.6,75.0,72.0,85.0,11.384880431413366,73.38528800216443,6,3,79.35,SYNTHETIC
2026-01-01T06:30:00,12951,Rajdhani,1,BRC,RTM,261.0,197.0,193.0,215.0,12.239876623980344,89.63910841368049,6,3,183.28,SYNTHETIC
2026-01-01T06:45:00,12951,Rajdhani,1,KOTA,MTJ,324.0,195.0,190.0,212.0,8.22297835983367,75.76402899804953,6,3,185.34,SYNTHETIC
2026-01-01T07:00:00,12951,Rajdhani,1,BCT,ST,263.0,162.0,158.0,172.0,5.07443314148981,90.80354546747019,7,3,150.81,SYNTHETIC
2026-01-01T07:15:00,12951,Rajdhani,1,ST,BRC,129.0,81.0,79.0,90.0,-0.5187303250958188,77.05868684743116,7,3,82.79,SYNTHETIC
2026-01-01T07:30:00,12004,Shatabdi,0,NDLS,GZB,24.5,38.0,36.0,42.0,-0.2425022056453492,49.012068455498984,7,3,37.0,SYNTHETIC
2026-01-01T07:45:00,12951,Rajdhani,1,BCT,ST,263.0,162.0,158.0,172.0,0.01149805828649031,100.89689454701566,7,3,156.7,SYNTHETIC
2026-01-01T08:00:00,12004,Shatabdi,0,GZB,ALJN,106.3,59.0,57.0,68.0,1.1763516295173195,111.09386348858037,8,3,67.56,SYNTHETIC
2026-01-01T08:15:00,12951,Rajdhani,1,BCT,ST,263.0,162.0,158.0,172.0,2.0336326568418173,111.30164586666919,8,3,169.66,SYNTHETIC
2026-01-01T08:30:00,12951,Rajdhani,1,ST,BRC,129.0,81.0,79.0,90.0,0.7511367955858241,112.02673660308568,8,3,88.82,SYNTHETIC
2026-01-01T08:45:00,12004,Shatabdi,0,NDLS,GZB,24.5,38.0,36.0,42.0,-1.0198192677170987,60.17173134261452,8,3,43.04,SYNTHETIC
2026-01-01T09:00:00,12004,Shatabdi,0,CNB,LKO,71.6,75.0,72.0,85.0,-1.8996383146491762,44.16003235600534,9,3,84.54,SYNTHETIC
2026-01-01T09:15:00,12004,Shatabdi,0,NDLS,GZB,24.5,38.0,36.0,42.0,1.0407229470230699,53.32274032473244,9,3,43.5,SYNTHETIC
2026-01-01T09:30:00,12004,Shatabdi,0,GZB,ALJN,106.3,59.0,57.0,68.0,13.517142382904343,108.32728658442332,9,3,68.73,SYNTHETIC
2026-01-01T09:45:00,12951,Rajdhani,1,KOTA,MTJ,324.0,195.0,190.0,212.0,2.36191036618178,102.94403547101605,9,3,207.71,SYNTHETIC
2026-01-01T10:00:00,12951,Rajdhani,1,BRC,RTM,261.0,197.0,193.0,215.0,0.4842790588679433,94.13386451570187,10,3,206.97,SYNTHETIC
2026-01-01T10:15:00,12951,Rajdhani,1,RTM,KOTA,266.0,157.0,154.0,170.0,1.1102052270415825,112.17634150131263,10,3,169.36,SYNTHETIC
2026-01-01T10:30:00,12951,Rajdhani,1,KOTA,MTJ,324.0,195.0,190.0,212.0,4.534974323741446,120.97353458513179,10,3,205.88,SYNTHETIC
2026-01-01T10:45:00,12951,Rajdhani,1,KOTA,MTJ,324.0,195.0,190.0,212.0,-0.8390357575003522,102.26722002717392,10,3,199.71,SYNTHETIC
2026-01-01T11:00:00,12951,Rajdhani,1,RTM,KOTA,266.0,157.0,154.0,170.0,4.292642885816608,107.88122607692813,11,3,168.02,SYNTHETIC
2026-01-01T11:15:00,12004,Shatabdi,0,ALJN,CNB,308.6,209.0,205.0,228.0,4.0690936919651755,95.71804323534886,11,3,242.08,SYNTHETIC
2026-01-01T11:30:00,12951,Rajdhani,1,RTM,KOTA,266.0,157.0,154.0,170.0,3.984006314418899,103.7663825551427,11,3,169.61,SYNTHETIC
2026-01-01T11:45:00,12004,Shatabdi,0,NDLS,GZB,24.5,38.0,36.0,42.0,-0.6967106280485691,31.20317707267207,11,3,45.01,SYNTHETIC
2026-01-01T12:00:00,12004,Shatabdi,0,NDLS,GZB,24.5,38.0,36.0,42.0,29.27340039389282,30.0,12,3,39.74,SYNTHETIC
2026-01-01T12:15:00,12951,Rajdhani,1,KOTA,MTJ,324.0,195.0,190.0,212.0,16.354825041694646,108.37708310467507,12,3,178.47,SYNTHETIC
2026-01-01T12:30:00,12004,Shatabdi,0,ALJN,CNB,308.6,209.0,205.0,228.0,21.57244698466393,88.14738145047195,12,3,215.78,SYNTHETIC
2026-01-01T12:45:00,12004,Shatabdi,0,NDLS,GZB,24.5,38.0,36.0,42.0,0.28687738858430256,42.97427077463538,12,3,36.83,SYNTHETIC
2026-01-01T13:00:00,12951,Rajdhani,1,MTJ,NDLS,143.0,110.0,108.0,125.0,13.957003378926933,67.96724471619444,13,3,108.93,SYNTHETIC
2026-01-01T13:15:00,12951,Rajdhani,1,MTJ,NDLS,143.0,110.0,108.0,125.0,10.591651827404768,88.16891602104897,13,3,107.96,SYNTHETIC
2026-01-01T13:30:00,12951,Rajdhani,1,ST,BRC,129.0,81.0,79.0,90.0,0.6729540538896948,107.0259031438694,13,3,77.19,SYNTHETIC
2026-01-01T13:45:00,12004,Shatabdi,0,ALJN,CNB,308.6,209.0,205.0,228.0,-0.22404540300511844,82.99243986907497,13,3,222.04,SYNTHETIC
2026-01-01T14:00:00,12004,Shatabdi,0,CNB,LKO,71.6,75.0,72.0,85.0,7.605699593850925,72.97547994638752,14,3,81.43,SYNTHETIC
2026-01-01T14:15:00,12004,Shatabdi,0,ALJN,CNB,308.6,209.0,205.0,228.0,0.4748944428259252,82.59369907413648,14,3,226.62,SYNTHETIC
2026-01-01T14:30:00,12951,Rajdhani,1,ST,BRC,129.0,81.0,79.0,90.0,0.38634488806770184,99.47302070769979,14,3,79.42,SYNTHETIC
2026-01-01T14:45:00,12004,Shatabdi,0,NDLS,GZB,24.5,38.0,36.0,42.0,-1.7716190043032638,36.114014675439,14,3,42.38,SYNTHETIC
2026-01-01T15:00:00,12004,Shatabdi,0,NDLS,GZB,24.5,38.0,36.0,42.0,8.556996916942982,52.93731966469972,15,3,37.7,SYNTHETIC
2026-01-01T15:15:00,12004,Shatabdi,0,ALJN,CNB,308.6,209.0,205.0,228.0,4.087224689227695,70.07052535293613,15,3,230.11,SYNTHETIC
2026-01-01T15:30:00,12004,Shatabdi,0,ALJN,CNB,308.6,209.0,205.0,228.0,1.4679005876398081,82.60376044194464,15,3,228.16,SYNTHETIC
2026-01-01T15:45:00,12004,Shatabdi,0,NDLS,GZB,24.5,38.0,36.0,42.0,1.5041665119486822,37.639782555185555,15,3,38.6,SYNTHETIC
2026-01-01T16:00:00,12951,Rajdhani,1,BCT,ST,263.0,162.0,158.0,172.0,4.101153060857427,121.21983020159307,16,3,158.68,SYNTHETIC
2026-01-01T16:15:00,12951,Rajdhani,1,BCT,ST,263.0,162.0,158.0,172.0,3.67618283222461,84.67971806197886,16,3,156.55,SYNTHETIC
2026-01-01T16:30:00,12004,Shatabdi,0,ALJN,CNB,308.6,209.0,205.0,228.0,6.509091086540279,94.76014550097449,16,3,222.43,SYNTHETIC
