train_number,train_name,type,from_code,from_name,departure_time,to_code,to_name,arrival_time,duration,distance_km,avg_speed_kmph,total_halts,run_days
22487,Delhi - Amritsar Vande Bharat Express,Vande Bharat Express,DLI,Delhi Jn,15:15,ASR,Amritsar Jn,20:45,5h 30m,447.1,81.3,7,"mon,tue,wed,thu,sat,sun"
22926,Okha - Sabarmati Vande Bharat Express,Vande Bharat Express,OKHA,Okha,16:45,SBT,Sabarmati Jn,23:10,6h 25m,492.5,76.8,10,"mon,wed,thu,fri,sat,sun"
22447,New Delhi - Amb Andaura Vande Bharat Express,Vande Bharat Express,NDLS,New Delhi,05:50,AADR,Amb Andaura,11:10,5h 20m,412.4,77.3,7,"mon,wed,thu,fri,sat,sun"
22416,New Delhi - Varanasi Vande Bharat Express,Vande Bharat Express,NDLS,New Delhi,15:00,BSB,Varanasi Jn,23:05,8h 5m,760.4,94.1,4,"mon,wed,thu,fri,sat,sun"
22415,Varanasi - New Delhi Vande Bharat Express,Vande Bharat Express,BSB,Varanasi Jn,06:00,NDLS,New Delhi,14:05,8h 5m,760.4,94.1,4,"mon,wed,thu,fri,sat,sun"
20902,Gandhinagar - Mumbai Central Vande Bharat Express,Vande Bharat Express,GNC,Gandhinagar Capital,14:00,MMCT,Mumbai Central,20:35,6h 35m,522,79.3,10,"mon,tue,thu,fri,sat,sun"
12462,Sabarmati BG - Jodhpur Vande Bharat Express,Vande Bharat Express,SBIB,Sabarmati BG,16:55,JU,Jodhpur Jn,22:50,5h 55m,449.3,75.9,7,"mon,wed,thu,fri,sat,sun"
12461,Jodhpur - Sabarmati BG Vande Bharat Express,Vande Bharat Express,JU,Jodhpur Jn,06:05,SBIB,Sabarmati BG,12:05,6h 0m,449.3,74.9,7,"mon,wed,thu,fri,sat,sun"
22478,SMVD Katra - New Delhi Vande Bharat Express,Vande Bharat Express,SVDK,Shri Mata Vaishno Devi Katra,05:45,NDLS,New Delhi,14:00,8h 15m,654.7,79.4,7,"mon,tue,thu,fri,sat,sun"
22477,New Delhi - SMVD Katra Vande Bharat Express,Vande Bharat Express,NDLS,New Delhi,15:00,SVDK,Shri Mata Vaishno Devi Katra,23:20,8h 20m,654.7,78.6,7,"mon,tue,thu,fri,sat,sun"
22457,Anand Vihar Terminal - Dehra Dun Vande Bharat Express,Vande Bharat Express,ANVT,Anand Vihar Terminal,17:50,DDN,Dehra Dun,22:35,4h 45m,301.5,63.5,8,"mon,tue,wed,fri,sat,sun"
22458,Dehra Dun - Anand Vihar Terminal Vande Bharat Express,Vande Bharat Express,DDN,Dehra Dun,07:00,ANVT,Anand Vihar Terminal,11:45,4h 45m,301.5,63.5,8,"mon,tue,wed,fri,sat,sun"
22488,Amritsar - Delhi Vande Bharat Express,Vande Bharat Express,ASR,Amritsar Jn,08:20,DLI,Delhi Jn,13:50,5h 30m,447.1,81.3,7,"mon,tue,wed,thu,sat,sun"
22925,Sabarmati - Okha Vande Bharat Express,Vande Bharat Express,SBT,Sabarmati Jn,06:15,OKHA,Okha,13:20,7h 5m,492.5,69.5,10,"mon,wed,thu,fri,sat,sun"
22962,Ahmedabad - Mumbai Central Vande Bharat Express,Vande Bharat Express,ADI,Ahmedabad Jn,06:05,MMCT,Mumbai Central,11:45,5h 40m,493,87,6,"mon,tue,wed,thu,fri,sat"
22961,Mumbai Central - Ahmedabad Vande Bharat Express,Vande Bharat Express,MMCT,Mumbai Central,15:45,ADI,Ahmedabad Jn,21:15,5h 30m,493,89.6,6,"mon,tue,wed,thu,fri,sat"
20901,Mumbai Central - Gandhinagar Vande Bharat Express,Vande Bharat Express,MMCT,Mumbai Central,06:00,GNC,Gandhinagar Capital,12:30,6h 30m,522.1,80.3,10,"mon,tue,thu,fri,sat,sun"
22310,Jamalpur - Howrah Vande Bharat Express,Vande Bharat Express,JMP,Jamalpur Jn,15:30,HWH,Howrah,22:05,6h 35m,437.2,66.4,10,"mon,tue,wed,thu,sat,sun"
22309,Howrah - Jamalpur Vande Bharat Express,Vande Bharat Express,HWH,Howrah,07:45,JMP,Jamalpur Jn,14:15,6h 30m,437.2,67.3,10,"mon,tue,wed,thu,sat,sun"
22448,Amb Andaura - New Delhi Vande Bharat Express,Vande Bharat Express,AADR,Amb Andaura,13:00,NDLS,New Delhi,18:25,5h 25m,412.3,76.1,7,"mon,wed,thu,fri,sat,sun"
20101,Nagpur - Secunderabad Vande Bharat Express,Vande Bharat Express,NGP,Nagpur Jn,05:00,SC,Secunderabad Jn,12:15,7h 15m,574.8,79.3,9,"mon,wed,thu,fri,sat,sun"
20102,Secunderabad - Nagpur Vande Bharat Express,Vande Bharat Express,SC,Secunderabad Jn,13:00,NGP,Nagpur Jn,20:20,7h 20m,574.9,78.4,9,"mon,wed,thu,fri,sat,sun"
20171,Rani Kamlapati - Hazrat Nizamuddin Vande Bharat Express,Vande Bharat Express,RKMP,Rani Kamalapati,05:40,NZM,Hazrat Nizamuddin Jn,13:16,7h 36m,701.1,92.3,5,"mon,tue,wed,thu,fri,sun"
20172,Hazrat Nizamuddin - Rani Kamlapati Vande Bharat Express,Vande Bharat Express,NZM,Hazrat Nizamuddin Jn,14:40,RKMP,Rani Kamalapati,22:16,7h 36m,701.1,92.3,5,"mon,tue,wed,thu,fri,sun"
20173,Rani Kamlapati - Rewa Vande Bharat Express,Vande Bharat Express,RKMP,Rani Kamalapati,15:30,REWA,Rewa,23:35,8h 5m,567.8,70.2,10,"mon,wed,thu,fri,sat,sun"
20174,Rewa - Rani Kamlapati Vande Bharat Express,Vande Bharat Express,REWA,Rewa,05:20,RKMP,Rani Kamalapati,13:30,8h 10m,567.8,69.5,10,"mon,wed,thu,fri,sat,sun"
20175,Banaras - Agra Cantt Vande Bharat Express,Vande Bharat Express,BSBS,Banaras,,AGC,Agra Cantt,22:20,22h 20m,576,25.8,6,"mon,tue,thu,fri,sat,sun"
20176,Agra Cantt - Banaras Vande Bharat Express,Vande Bharat Express,AGC,Agra Cantt,06:00,BNRS,Banaras,13:00,7h 0m,576,82.3,6,"mon,tue,thu,fri,sat,sun"
20607,Chennai Central - Mysore Vande Bharat Express,Vande Bharat Express,MAS,MGR Chennai Central,05:50,MYS,Mysore Jn,12:20,6h 30m,496.4,76.4,4,"mon,tue,thu,fri,sat,sun"
20608,Mysore - Chennai Central Vande Bharat Express,Vande Bharat Express,MYS,Mysore Jn,13:05,MAS,MGR Chennai Central,19:20,6h 15m,496.4,79.4,4,"mon,tue,thu,fri,sat,sun"
20633,Kasaragod - Trivandrum Central Vande Bharat Express,Vande Bharat Express,KGQ,Kasaragod,14:30,TVC,Trivandrum Central,22:40,8h 10m,587.8,72,10,"mon,tue,wed,fri,sat,sun"
20641,Bengaluru Cantt - Coimbatore Vande Bharat Express,Vande Bharat Express,BNC,Bengaluru Cantt,14:20,CBE,Coimbatore Jn,20:40,6h 20m,373.1,58.9,7,"mon,tue,wed,fri,sat,sun"
20642,Coimbatore - Bengaluru Cantt Vande Bharat Express,Vande Bharat Express,CBE,Coimbatore Jn,07:25,BNC,Bengaluru Cantt,13:45,6h 20m,373.1,58.9,7,"mon,tue,wed,fri,sat,sun"
20643,Chennai Central - Coimbatore Vande Bharat Express,Vande Bharat Express,MAS,MGR Chennai Central,14:15,CBE,Coimbatore Jn,20:15,6h 0m,493.2,82.2,5,"mon,tue,thu,fri,sat,sun"
20644,Coimbatore - Chennai Central Vande Bharat Express,Vande Bharat Express,CBE,Coimbatore Jn,06:00,MAS,MGR Chennai Central,11:50,5h 50m,493.2,84.5,5,"mon,tue,thu,fri,sat,sun"
20645,Madgaon - Mangalore Central Vande Bharat Express,Vande Bharat Express,MAO,Madgaon,17:35,MAQ,Mangalore Central,22:45,5h 10m,319.3,61.8,4,"mon,tue,wed,fri,sat,sun"
20646,Mangalore Central - Madgaon Vande Bharat Express,Vande Bharat Express,MAQ,Mangalore Central,08:30,MAO,Madgaon,14:10,5h 40m,319.3,56.3,4,"mon,tue,wed,fri,sat,sun"
20661,KSR Bengaluru - Dharwad Vande Bharat Express,Vande Bharat Express,SBC,KSR Bengaluru,05:45,DWR,Dharwad,12:00,6h 15m,491,78.6,7,"mon,wed,thu,fri,sat,sun"
20662,Dharwad - KSR Bengaluru Vande Bharat Express,Vande Bharat Express,DWR,Dharwad,13:30,SBC,KSR Bengaluru,19:45,6h 15m,491,78.6,7,"mon,wed,thu,fri,sat,sun"
20663,Mysore - Chennai Central Vande Bharat Express,Vande Bharat Express,MYS,Mysore Jn,06:00,MAS,MGR Chennai Central,12:30,6h 30m,496.4,76.4,6,"mon,tue,wed,fri,sat,sun"
20664,Chennai Central - Mysore Vande Bharat Express,Vande Bharat Express,MAS,MGR Chennai Central,17:00,MYS,Mysore Jn,23:30,6h 30m,496.4,76.4,6,"mon,tue,wed,fri,sat,sun"
20665,Chennai Egmore - Tirunelveli Vande Bharat Express,Vande Bharat Express,MS,Chennai Egmore,15:10,TEN,Tirunelveli,23:00,7h 50m,648.5,82.8,10,"mon,wed,thu,fri,sat,sun"
20666,Tirunelveli - Chennai Egmore Vande Bharat Express,Vande Bharat Express,TEN,Tirunelveli,06:00,MS,Chennai Egmore,14:00,8h 0m,648.4,81,10,"mon,wed,thu,fri,sat,sun"
20670,Pune - Hubballi Vande Bharat Express,Vande Bharat Express,PUNE,Pune Jn,14:15,UBL,SSS Hubballi Jn,22:45,8h 30m,558.8,65.7,9,"mon,thu,sat"
20672,Bengaluru Cantt - Madurai Vande Bharat Express,Vande Bharat Express,BNC,Bengaluru Cantt,13:30,MDU,Madurai Jn,21:40,8h 10m,577.8,70.8,8,"mon,wed,thu,fri,sat,sun"
20673,Shri Chhatrapati Shahu Maharaj Terminus - Pune Vande Bharat Express,Vande Bharat Express,KOP,Shri Chhatrapati Shahu Maharaj Terminus,08:15,PUNE,Pune Jn,13:30,5h 15m,326.4,62.2,7,"mon,thu,sat"
20674,Pune - Shri Chhatrapati Shahu Maharaj Terminus Vande Bharat Express,Vande Bharat Express,PUNE,Pune Jn,14:15,KOP,Shri Chhatrapati Shahu Maharaj Terminus,19:40,5h 25m,326.4,60.3,7,"wed,fri,sun"
20677,Chennai Central - Narasapur Vande Bharat Express,Vande Bharat Express,MAS,MGR Chennai Central,05:30,NS,Narasapur,14:10,8h 40m,652.7,75.3,9,"mon,wed,thu,fri,sat,sun"
20678,Narasapur - Chennai Central Vande Bharat Express,Vande Bharat Express,NS,Narasapur,14:50,MAS,MGR Chennai Central,23:45,8h 55m,652.7,73.2,9,"mon,wed,thu,fri,sat,sun"
